gen island best mean std
0 0 57.16227 -0.03976 13.018691
0 1 57.16227 0.40785 14.515347
0 2 66.091917 2.926121 17.93278
0 3 57.296218 -0.858422 14.291968
0 4 21.790514 -2.347827 7.77161
1 0 57.16227 7.298957 21.826336
1 1 57.16227 6.89825 23.364333
1 2 57.16227 11.134881 20.588107
1 3 57.286267 12.940399 25.399673
1 4 57.16227 2.024492 14.055044
2 0 57.732142 10.01458 23.704931
2 1 57.601837 17.188092 28.364144
2 2 57.219256 23.188125 27.706246
2 3 66.16227 25.215382 28.472731
2 4 57.16227 2.783997 13.165816
3 0 57.732142 17.658173 26.131808
3 1 57.601837 24.804822 30.303191
3 2 66.102846 40.334021 27.033115
3 3 66.16227 30.608414 25.532112
3 4 57.16227 9.974175 16.547718
4 0 57.752976 18.98484 25.526699
4 1 75.225448 35.638991 30.308379
4 2 75.091917 45.718472 23.972034
4 3 75.16227 36.764055 29.998615
4 4 57.732142 10.003708 12.018476
5 0 75.263428 37.57701 27.647294
5 1 75.225448 42.795153 29.000327
5 2 75.091917 41.179164 28.649252
5 3 75.16227 34.257081 31.21623
5 4 57.732142 11.621948 12.834797
6 0 75.263428 43.552317 26.319294
6 1 75.266659 39.621896 30.633276
6 2 66.179917 51.090948 20.035042
6 3 75.16227 31.302256 32.905921
6 4 57.732142 11.558644 13.397419
7 0 75.263428 44.420883 25.129735
7 1 75.266659 48.187588 24.910549
7 2 66.179917 54.621905 15.047162
7 3 75.16227 36.459709 33.199579
7 4 57.732142 15.171073 14.885528
8 0 75.266659 50.245875 24.063071
8 1 75.266659 51.771953 19.733746
8 2 75.16227 56.92649 16.657065
8 3 75.16227 53.554586 23.358271
8 4 66.194865 20.252094 19.574328
9 0 75.266659 42.86302 27.349157
9 1 75.266659 51.370127 22.478593
9 2 75.16227 51.261471 23.59718
9 3 75.16227 39.866427 31.247857
9 4 85.256997 27.672108 24.171977
10 0 75.266659 51.357626 22.019427
10 1 75.266659 54.516423 19.545174
10 2 75.16227 52.658752 20.123075
10 3 75.16227 50.674996 22.661787
10 4 85.256997 28.121111 23.048727
11 0 75.266659 50.901244 21.49846
11 1 75.266659 44.283 28.924681
11 2 75.16227 51.084722 24.265417
11 3 75.16227 57.403344 16.874339
11 4 75.752976 38.448225 22.710437
12 0 75.266659 56.550158 12.43993
12 1 75.266659 51.265411 21.866384
12 2 75.16227 50.8593 24.743926
12 3 75.752976 50.477303 22.125334
12 4 75.266659 42.225444 22.622836
13 0 75.266659 33.279889 30.274527
13 1 75.266659 53.535203 19.235812
13 2 75.16227 43.048021 30.497489
13 3 75.752976 47.147718 24.225866
13 4 75.266659 44.018655 24.26478
14 0 75.266659 46.041954 27.951801
14 1 75.266659 53.247432 20.58296
14 2 75.16227 49.73727 28.806152
14 3 75.752976 47.583971 24.296664
14 4 75.266659 33.272473 32.130843
15 0 75.266659 53.906947 15.876964
15 1 75.266659 48.839745 23.549059
15 2 75.16227 47.71227 28.456941
15 3 75.752976 46.93591 25.2697
15 4 75.266659 29.693916 32.509829
16 0 75.266659 56.643511 10.548783
16 1 75.266659 47.156455 23.294434
16 2 75.752976 43.492562 30.624317
16 3 75.752976 47.414494 20.024455
16 4 75.266659 45.362321 28.643408
17 0 75.266659 44.9524 28.453043
17 1 75.601837 56.643942 12.463493
17 2 75.752976 51.867595 24.676826
17 3 94.023266 42.952947 27.866293
17 4 75.266659 54.777978 19.795138
18 0 75.323246 52.338718 23.123155
18 1 75.601837 55.979442 16.551375
18 2 75.752976 46.927962 28.903386
18 3 94.023266 40.339747 27.802258
18 4 75.266659 48.747994 24.207049
19 0 75.323246 54.073861 22.28718
19 1 75.601837 59.180333 11.04343
19 2 75.752976 44.916157 27.983669
19 3 94.023266 47.660718 25.740609
19 4 75.266659 51.42543 23.013619
