Generation Island NDifferentFitnesses
1 0 16
1 1 23
1 2 12
1 3 24
1 4 20
2 0 17
2 1 20
2 2 17
2 3 10
2 4 17
3 0 18
3 1 20
3 2 22
3 3 13
3 4 18
4 0 16
4 1 28
4 2 29
4 3 13
4 4 25
5 0 16
5 1 32
5 2 26
5 3 11
5 4 21
6 0 13
6 1 26
6 2 30
6 3 9
6 4 19
7 0 13
7 1 31
7 2 30
7 3 8
7 4 24
8 0 15
8 1 30
8 2 26
8 3 11
8 4 23
9 0 12
9 1 31
9 2 29
9 3 11
9 4 18
10 0 12
10 1 31
10 2 30
10 3 16
10 4 16
11 0 18
11 1 32
11 2 24
11 3 24
11 4 14
12 0 22
12 1 34
12 2 23
12 3 23
12 4 17
13 0 25
13 1 30
13 2 25
13 3 24
13 4 23
14 0 26
14 1 32
14 2 25
14 3 24
14 4 27
15 0 30
15 1 31
15 2 24
15 3 19
15 4 24
16 0 27
16 1 31
16 2 24
16 3 20
16 4 28
17 0 27
17 1 31
17 2 22
17 3 25
17 4 26
18 0 27
18 1 28
18 2 25
18 3 27
18 4 24
19 0 29
19 1 30
19 2 27
19 3 25
19 4 21
