gen island best mean std
0 0 48.244258 -0.774164 12.237495
0 1 87.68188 3.894875 25.6101
0 2 87.727 5.427695 22.912158
0 3 91.772379 9.423887 29.092679
0 4 88.418216 7.839578 24.406148
1 0 89.04704 16.915727 29.063273
1 1 87.727 14.20126 29.384242
1 2 90.137405 35.29766 37.750306
1 3 91.772379 23.710805 38.134153
1 4 88.418216 22.189502 35.145126
2 0 92.372379 44.184906 37.429605
2 1 92.327 37.220065 41.704574
2 2 92.524826 54.951014 39.685995
2 3 92.53704 48.224139 44.122196
2 4 90.537405 52.780787 36.6883
3 0 92.372379 50.364622 36.37706
3 1 92.58272 66.581571 37.58305
3 2 92.524826 69.380289 34.249227
3 3 92.727 74.035781 32.256166
3 4 90.537405 63.172044 34.952836
4 0 92.372379 50.964412 35.562932
4 1 92.58272 68.799469 36.092591
4 2 92.524826 72.670235 31.331121
4 3 93.327 86.474124 15.370551
4 4 90.537405 68.193669 32.97262
5 0 92.372379 61.118179 35.662555
5 1 92.58272 71.276691 36.158466
5 2 92.524826 73.845766 27.546428
5 3 93.727 86.356963 16.446276
5 4 90.537405 79.080858 19.931694
6 0 92.727 70.336894 32.573366
6 1 92.776119 78.504672 27.279511
6 2 92.524826 83.808398 20.657767
6 3 93.727 88.822757 11.369275
6 4 90.537405 84.116837 13.485081
7 0 92.727 76.233381 29.551812
7 1 92.776119 79.171986 29.614468
7 2 92.524826 67.392914 37.261197
7 3 93.727 90.739502 4.371219
7 4 90.537405 64.866497 36.53043
8 0 92.727 83.96289 20.644488
8 1 92.776119 67.050625 39.01142
8 2 92.727 58.525953 39.706426
8 3 93.727 91.144026 1.505438
8 4 91.772379 81.152505 22.169268
9 0 92.727 80.311153 24.397447
9 1 92.776119 85.091663 18.853583
9 2 92.927 65.904353 37.784781
9 3 93.727 91.119239 2.192885
9 4 91.772379 77.614515 27.01908
10 0 92.727 83.15448 21.657019
10 1 92.776119 76.784426 31.722875
10 2 92.927 74.39541 33.202809
10 3 93.727 70.827215 38.524761
10 4 91.772379 61.532795 31.110303
11 0 92.927 77.788893 24.589381
11 1 92.776119 69.846355 37.692841
11 2 93.727 84.997932 22.963933
11 3 93.727 85.205209 20.441862
11 4 91.772379 68.171078 31.137439
12 0 93.127 71.349387 32.4834
12 1 92.927 66.865034 37.812773
12 2 93.727 89.794876 9.688266
12 3 93.727 91.050895 2.200919
12 4 91.772379 56.226856 37.723076
13 0 93.127 82.969052 19.70184
13 1 93.527 62.322193 40.538006
13 2 93.727 91.488009 2.811963
13 3 93.727 91.530772 1.644282
13 4 91.772379 47.092006 41.873819
14 0 92.927 85.389801 17.525552
14 1 93.527 61.337636 38.174104
14 2 93.727 90.35077 9.689647
14 3 93.727 80.62401 27.690418
14 4 91.772379 61.824978 34.313689
15 0 92.927 87.761775 14.681122
15 1 93.527 75.810973 27.485849
15 2 93.727 85.238417 16.989857
15 3 93.727 91.204865 2.36487
15 4 91.772379 79.025663 26.268901
16 0 93.327 83.841136 20.332202
16 1 93.727 81.146776 24.898391
16 2 93.727 80.889316 28.587363
16 3 93.727 91.241875 2.176451
16 4 92.24704 80.949592 28.16283
17 0 93.727 87.69963 17.39508
17 1 93.727 90.199482 2.792261
17 2 93.727 85.839443 19.424281
17 3 93.727 89.812682 10.948829
17 4 92.24704 87.012958 16.206668
18 0 93.727 81.571886 24.351755
18 1 93.727 91.096858 2.220595
18 2 93.727 89.768514 12.377644
18 3 93.727 79.520186 24.522438
18 4 92.24704 87.222373 14.151656
19 0 93.727 85.499168 21.959897
19 1 93.727 91.508419 1.834234
19 2 93.727 91.745197 1.195876
19 3 93.727 84.992977 20.319839
19 4 92.770654 86.508155 17.163694
