Generation Island NDifferentFitnesses
1 0 21
1 1 19
1 2 22
1 3 26
1 4 24
2 0 21
2 1 21
2 2 24
2 3 21
2 4 24
3 0 22
3 1 24
3 2 23
3 3 23
3 4 16
4 0 17
4 1 22
4 2 21
4 3 16
4 4 15
5 0 13
5 1 15
5 2 19
5 3 19
5 4 14
6 0 12
6 1 21
6 2 15
6 3 16
6 4 14
7 0 14
7 1 11
7 2 12
7 3 11
7 4 14
8 0 21
8 1 15
8 2 14
8 3 19
8 4 14
9 0 11
9 1 15
9 2 11
9 3 23
9 4 11
10 0 15
10 1 14
10 2 9
10 3 28
10 4 4
11 0 12
11 1 16
11 2 10
11 3 20
11 4 7
12 0 15
12 1 16
12 2 17
12 3 26
12 4 7
13 0 16
13 1 21
13 2 13
13 3 17
13 4 16
14 0 18
14 1 20
14 2 14
14 3 19
14 4 12
15 0 28
15 1 16
15 2 22
15 3 19
15 4 12
16 0 24
16 1 16
16 2 18
16 3 26
16 4 10
17 0 25
17 1 19
17 2 15
17 3 22
17 4 22
18 0 21
18 1 12
18 2 22
18 3 17
18 4 11
19 0 24
19 1 19
19 2 17
19 3 20
19 4 8
