

gen best mean std
0 92.776119 8.592616 30.688557
1 92.776119 27.033322 42.589532
2 92.776119 49.067306 40.490346
3 92.776119 64.782796 36.891919
4 92.776119 73.297344 29.014645
5 92.776119 77.172633 29.256741
6 92.776119 59.787207 43.326222
7 92.776119 74.387636 33.84301
8 92.776119 81.818643 23.588456
9 92.776119 83.644894 22.670738
10 92.776119 67.406898 38.481112
11 92.776119 76.007437 32.792744
12 92.776119 77.823772 30.424919
13 92.776119 83.476552 22.52119
14 92.776119 74.257516 33.474457
15 92.776119 82.55529 22.292826
16 92.776119 80.150506 25.674986
17 92.776119 88.362352 13.507867
18 92.776119 67.681976 38.566262
19 92.776119 77.531381 30.433273
20 92.776119 80.372609 26.787499
21 92.776119 84.088065 22.189129
22 92.776119 77.604239 29.089886
23 92.776119 81.691949 24.292273
24 92.776119 85.709552 18.847876
25 92.776119 87.915499 15.388745
26 92.776119 62.116186 41.50014
27 92.776119 77.537526 28.418192
28 92.776119 85.013636 21.106425
29 92.776119 87.239176 16.084815
