

gen best mean std
0 91.772379 11.269834 32.355139
1 91.84704 35.330588 40.38163
2 92.569562 68.724943 29.99282
3 92.569562 76.885304 22.535404
4 92.569562 79.640803 18.823985
5 92.569562 80.094522 18.131665
6 92.569562 78.058591 18.322509
7 92.569562 83.865447 11.793684
8 92.569562 83.906702 13.095516
9 92.569562 81.744009 18.118756
10 92.770654 78.800911 20.76211
11 92.927 80.705057 18.685336
12 92.927 83.38671 14.614814
13 93.350144 84.32577 13.614459
14 93.350144 84.919649 13.401159
15 93.350144 84.689264 15.380528
16 93.350144 80.754493 21.255091
17 93.350144 85.095685 14.904022
18 93.350144 83.723138 15.616753
19 93.350144 86.518458 13.396894
20 93.350144 86.764307 13.266891
21 93.350144 85.422093 17.385012
22 93.812614 84.886019 18.189714
23 93.812614 84.417076 17.573386
24 93.812614 83.153979 19.658743
25 93.812614 86.700922 13.917014
26 93.812614 87.385103 11.880843
27 93.812614 85.520998 15.781996
28 93.812614 84.748657 17.677407
29 93.812614 84.471788 16.338088
