gen island best mean std
0 0 91.772379 12.435825 31.717163
0 1 91.630187 10.091249 30.014015
0 2 92.512404 11.834452 33.130023
0 3 91.772379 11.486036 30.610679
0 4 92.770654 8.038967 29.10254
1 0 92.347727 27.091255 39.31974
1 1 91.772379 35.390757 44.054184
1 2 93.207043 26.877428 40.986374
1 3 91.772379 41.717137 42.293956
1 4 92.770654 29.052763 40.517737
2 0 92.53704 47.910641 39.961555
2 1 92.527 56.675981 40.958181
2 2 93.207043 47.248669 43.669144
2 3 92.770654 57.64568 41.122895
2 4 92.770654 42.246928 41.322165
3 0 92.58272 65.864798 32.664432
3 1 92.527 59.564739 38.909701
3 2 93.207043 59.162702 39.584678
3 3 92.770654 68.001436 32.891364
3 4 92.770654 59.343865 39.803531
4 0 92.58272 74.615322 25.80044
4 1 92.527 70.120239 31.10264
4 2 93.327 70.884052 31.004585
4 3 92.770654 72.074148 32.507387
4 4 92.770654 69.706783 34.02955
5 0 92.527 75.514289 24.510131
5 1 93.327 73.83757 28.221919
5 2 93.207043 65.547425 36.263332
5 3 92.770654 75.196722 30.387422
5 4 92.770654 70.66034 32.336095
6 0 92.531096 76.303068 22.907093
6 1 93.327 72.239377 29.79914
6 2 93.207043 69.987428 31.396569
6 3 93.727 74.940647 31.658693
6 4 92.770654 60.094445 39.213056
7 0 92.770654 80.795623 19.564457
7 1 93.327 74.239792 30.207922
7 2 93.727 71.480799 32.602717
7 3 93.527 75.991644 30.100117
7 4 92.770654 67.348437 35.39657
8 0 92.770654 78.175233 22.892823
8 1 93.327 76.52518 26.826441
8 2 93.727 79.559651 24.848306
8 3 93.527 79.780378 29.558265
8 4 92.770654 72.944518 30.498042
9 0 92.770654 75.926027 27.390006
9 1 93.327 79.453299 23.102846
9 2 94.082006 85.59371 18.110847
9 3 93.527 79.929079 28.146622
9 4 92.770654 78.258133 26.423478
10 0 93.327 82.743304 21.606804
10 1 94.082006 62.934126 40.416713
10 2 93.727 85.438684 17.779437
10 3 93.127 82.17768 24.390948
10 4 92.770654 67.757149 33.730865
11 0 93.327 82.30902 24.617193
11 1 94.082006 72.674651 33.131857
11 2 93.727 82.61011 24.260693
11 3 93.727 70.209163 34.40296
11 4 92.770654 61.124455 34.847273
12 0 93.327 81.329127 26.304465
12 1 94.082006 71.84857 35.04138
12 2 93.989365 85.362766 19.104721
12 3 93.727 78.202113 28.367202
12 4 92.770654 54.014633 36.99679
13 0 93.327 86.245371 17.823015
13 1 94.082006 70.14476 34.788504
13 2 93.989365 81.279881 24.620283
13 3 93.727 85.640046 18.976135
13 4 92.970654 61.056526 35.786208
14 0 93.327 87.188264 15.429573
14 1 94.082006 66.686177 36.422088
14 2 93.989365 74.739217 33.496581
14 3 93.727 88.018054 14.260412
14 4 92.970654 60.763218 35.703141
15 0 94.082006 65.11541 40.821067
15 1 94.082006 61.805233 40.148699
15 2 94.189365 81.10539 26.296308
15 3 93.727 72.211288 34.967292
15 4 93.327 66.622453 33.855167
16 0 94.688012 71.745075 35.819043
16 1 94.082006 65.806292 37.557882
16 2 94.189365 82.390769 23.543274
16 3 93.727 86.172781 19.037298
16 4 93.327 77.912503 27.13558
17 0 94.688012 79.99898 27.661472
17 1 94.082006 74.002243 31.564973
