gen island best mean std
0 0 91.772379 8.171304 29.364064
0 1 91.772379 7.121291 27.790788
1 0 91.772379 27.064479 42.897934
1 1 92.368891 29.041315 42.69485
2 0 92.770654 46.620436 43.201112
2 1 92.53704 47.844382 41.555483
3 0 92.53704 61.067742 40.174822
3 1 92.77505 58.68806 36.816328
4 0 92.770654 76.116619 27.264283
4 1 92.77505 65.774091 35.99014
5 0 93.327 77.737947 27.475255
5 1 92.77505 73.483456 32.759458
6 0 93.527 85.156298 20.002085
6 1 93.527 73.975398 31.325048
7 0 93.527 86.449128 16.863626
7 1 93.527 78.414386 25.876848
8 0 93.527 84.941354 20.060226
8 1 93.882006 82.613227 22.818447
9 0 93.727 86.710979 14.501888
9 1 93.882006 84.064782 21.547128
10 0 93.727 89.524643 8.809006
10 1 93.882006 84.292773 20.384918
11 0 93.727 88.835113 10.482897
11 1 93.882006 88.909734 11.925664
12 0 93.727 89.910987 9.049889
12 1 93.989365 88.915765 12.389378
